-77 or(and(or(and(!$CDKN1C $INPP1) !$ABCC5 !$LSM1) or(!$DRG1 !$MARS $RBBP8) $HSPE1) and(or(and($CTSO $PFDN2) !$HIST3H2A) !$MGST3 !$PNRC1 $TMEM134) and(or($CCT3 $EFNA3) or($ENPP2 !$SCFD1) $ADRA2A) and(or(!$GRSF1 !$TMEM134) !$DCK $PRKAG1) and(!$DDIT3 !$ID1 !$RNF7) and($EFNA3 $ID1 $PRKAG1) and($IMPA1 $MRPL13 !$UQCRB) $AQP1 $ELN)  [score=-77, penalized score=-238.550140380859375, complexity=34, complexity penalty=11.3333339691162109, uniformity penalty=150.216812133789062, inconsistency penalty=0]
-108 or(and($EFNA3 $ID1) and(!$HIST3H2A !$MGST3 !$PNRC1) and(!$LSM1 !$MARS) $ADRA2A $AQP1 $ELN !$RNF7 !$UQCRB)  [score=-108, penalized score=-238.820571899414062, complexity=12, complexity penalty=4, uniformity penalty=126.820571899414062, inconsistency penalty=0]
-107 or(and(or(!$MARS $RBBP8) !$LSM1) and($EFNA3 $ID1) and(!$HIST3H2A !$MGST3 !$PNRC1) $ADRA2A $AQP1 !$DCK $ELN !$RNF7 !$UQCRB)  [score=-107, penalized score=-248.4666748046875, complexity=14, complexity penalty=4.66666698455810547, uniformity penalty=136.800003051757812, inconsistency penalty=0]
-108 or(and($EFNA3 $ID1) and(!$HIST3H2A !$MGST3 !$PNRC1) and(!$LSM1 $RBBP8) $ADRA2A $AQP1 $ELN !$RNF7 !$UQCRB)  [score=-108, penalized score=-248.800003051757812, complexity=12, complexity penalty=4, uniformity penalty=136.800003051757812, inconsistency penalty=0]
-107 or(and(or(!$MARS $RBBP8) $HSPE1 !$LSM1) and(!$DCK $PRKAG1) and($EFNA3 $ID1) and(!$HIST3H2A !$MGST3 !$PNRC1) $ADRA2A $AQP1 !$RNF7 !$UQCRB)  [score=-107, penalized score=-248.800003051757812, complexity=15, complexity penalty=5, uniformity penalty=136.800003051757812, inconsistency penalty=0]
-71 or(and(or(and(!$CDKN1C $INPP1) !$ABCC5 !$LSM1) or(and($DCUN1D1 $PTGER3) $HSPE1) or(!$DRG1 !$MARS $RBBP8)) and(or($CCT3 $EFNA3) or($ENPP2 !$SCFD1 $TRIM29) $ADRA2A $MTHFD2) and(or(!$DCK !$XPOT) or(!$GRSF1 !$TMEM134) $PRKAG1) and(or(!$GSK3B !$HSPE1) !$DDIT3 !$ID1 !$RNF7) and(or($IMPAD1 $SCFD1) $ELN) and(!$HIST3H2A !$MGST3 !$PNRC1 $TMEM134) and($IMPA1 $MRPL13 !$UQCRB) $AQP1)  [score=-71, penalized score=-253.659912109375, complexity=38, complexity penalty=12.6666669845581055, uniformity penalty=169.993240356445312, inconsistency penalty=0]
-71 or(and(or(and(!$CDKN1C $INPP1) !$ABCC5 !$LSM1) or(and($DCUN1D1 $PTGER3) $HSPE1) or(!$DRG1 !$MARS $RBBP8)) and(or(and($CTSO $PFDN2) !$HIST3H2A) !$MGST3 !$PNRC1 $TMEM134) and(or($CCT3 $EFNA3) or($ENPP2 !$SCFD1 $TRIM29) $ADRA2A $MTHFD2) and(or(!$DCK !$XPOT) or(!$GRSF1 !$TMEM134) $PRKAG1) and(or($IMPAD1 $SCFD1) $ELN) and(!$DDIT3 !$ID1 !$RNF7) and($IMPA1 $MRPL13 !$UQCRB) $AQP1)  [score=-71, penalized score=-253.659912109375, complexity=38, complexity penalty=12.6666669845581055, uniformity penalty=169.993240356445312, inconsistency penalty=0]
-71 or(and(or(and(!$CDKN1C $INPP1) !$ABCC5 !$LSM1) or(and($DCUN1D1 $PTGER3) $HSPE1) or(!$DRG1 !$MARS $RBBP8)) and(or(and($CTSO $PFDN2) !$HIST3H2A) !$MGST3 !$PNRC1 $TMEM134) and(or(!$DCK !$XPOT) or(!$GRSF1 !$TMEM134) $PRKAG1) and(or($ENPP2 !$SCFD1 $TRIM29) $ADRA2A $MTHFD2) and(or(!$GSK3B !$HSPE1) !$DDIT3 !$ID1 !$RNF7) and(or($IMPAD1 $SCFD1) $ELN) and($IMPA1 $MRPL13 !$UQCRB) $AQP1)  [score=-71, penalized score=-253.659912109375, complexity=38, complexity penalty=12.6666669845581055, uniformity penalty=169.993240356445312, inconsistency penalty=0]
-69 or(and(or(and(or($NTRK2 $RNF7) !$LSM1) and(!$CDKN1C $INPP1) !$ABCC5) or(and($DCUN1D1 $PTGER3) $HSPE1) or(!$DRG1 !$MARS $RBBP8)) and(or(and($CTSO $PFDN2) !$HIST3H2A) !$MGST3 !$PNRC1 $TMEM134) and(or($CCT3 $EFNA3) or($ENPP2 !$SCFD1 $TRIM29) $ADRA2A $MTHFD2) and(or(!$DCK !$XPOT) or(!$GRSF1 !$TMEM134) or(!$HSPE1 !$PTN) $PRKAG1) and(or(!$GSK3B !$HSPE1) !$DDIT3 !$ID1 !$RNF7) and(or($IMPAD1 $SCFD1) $ELN) and($IMPA1 $MRPL13 !$UQCRB) $AQP1)  [score=-69, penalized score=-253.659912109375, complexity=44, complexity penalty=14.6666669845581055, uniformity penalty=169.993240356445312, inconsistency penalty=0]
-71 or(and(or(and(!$CDKN1C $INPP1) !$ABCC5 !$LSM1) or(and($DCUN1D1 $PTGER3) $HSPE1) or(!$DRG1 !$MARS !$MRPL13 $RBBP8)) and(or(and($CTSO $PFDN2) !$HIST3H2A) !$MGST3 !$PNRC1 $TMEM134) and(or($CCT3 $EFNA3) or($ENPP2 !$SCFD1 $TRIM29) $ADRA2A $MTHFD2) and(or(!$DCK !$XPOT) or(!$GRSF1 !$TMEM134) $PRKAG1) and(or(!$GSK3B !$HSPE1) !$DDIT3 !$ID1 !$RNF7) and(or($IMPAD1 $SCFD1) $ELN) and($IMPA1 $MRPL13 !$UQCRB) $AQP1)  [score=-71, penalized score=-254.659912109375, complexity=41, complexity penalty=13.6666669845581055, uniformity penalty=169.993240356445312, inconsistency penalty=0]
