-78 or(and(or(and(!$PHF15 $SF3B5) !$AURKA $DRG1) or($ENPP2 $NTRK2) or($HSPE1 $PDLIM1)) and(or($ADRA2A $PHF15) !$PDCD5) and(or(!$COX7A2 $SORBS2) !$EFNA3 !$ID1 $VPS39) and(or(!$DDIT3 $SF3B5) !$COX17 !$CX3CR1) and(or($DDIT3 $MTHFD2) $JAK1) and(!$DCK $RNF7) and($PDCD5 !$RNF7 !$SCFD1))  [score=-78, penalized score=-240.565521240234375, complexity=28, complexity penalty=9.33333396911621094, uniformity penalty=150.216812133789062, inconsistency penalty=3.01537275314331055]
-56 or(and(or(and(or(and($PFDN2 $STC2) $AQP1) $ENPP2) $NTRK2) or(and(!$PHF15 $SF3B5) !$AURKA $DRG1) or($HSPE1 $PDLIM1)) and(or(and(or(!$BIRC5 $UBE2V2) !$FAS $PHF15) $ADRA2A) !$PDCD5) and(or(and(or(!$DRG1 $HSPE1) $MRPL13) !$HIST3H2A) !$DCK $RNF7) and(or(and(!$DDIT3 !$UBE2C) $SEPHS1 $SF3B5) !$COX17 !$CX3CR1) and(or(and($DDIT3 !$ID1) $MTHFD2) or(and(!$EFNA3 !$SYNPO) $ADRA2A $ENPP2 !$MARS) or($GRSF1 $RBBP8) $JAK1) and(or(and(!$PTGER3 !$PTN) !$CCNB2) $PDCD5 !$RNF7 !$SCFD1) and(or(!$COX7A2 $SORBS2) !$EFNA3 !$ID1 $VPS39))  [score=-56, penalized score=-244.3743896484375, complexity=51, complexity penalty=17, uniformity penalty=169.993240356445312, inconsistency penalty=1.381142258644104]
-58 or(and(or(and(or($AQP1 $PFDN2) $ENPP2) $NTRK2) or(and(!$PHF15 $SF3B5) !$AURKA $DRG1) or($HSPE1 $PDLIM1)) and(or(and(or(!$BIRC5 $UBE2V2) !$FAS $PHF15) $ADRA2A) !$PDCD5) and(or(and(!$DDIT3 !$UBE2C) $SEPHS1 $SF3B5) !$COX17 !$CX3CR1) and(or(and($DDIT3 !$ID1) $MTHFD2) or(and(!$EFNA3 !$SYNPO) $ADRA2A $ENPP2 !$MARS) or($GRSF1 $RBBP8) $JAK1) and(or(and(!$PTGER3 !$PTN) !$CCNB2) $PDCD5 !$RNF7 !$SCFD1) and(or(!$COX7A2 $SORBS2) !$EFNA3 !$ID1 $VPS39) and(or(!$HIST3H2A $MRPL13) !$DCK $RNF7))  [score=-58, penalized score=-245.464691162109375, complexity=48, complexity penalty=16, uniformity penalty=169.993240356445312, inconsistency penalty=1.47145998477935791]
-58 or(and(or(and(or(and($PFDN2 $STC2) $AQP1) $ENPP2) $NTRK2) or(and(!$PHF15 $SF3B5) !$AURKA $DRG1) or($HSPE1 $PDLIM1)) and(or(and(or(!$BIRC5 $UBE2V2) !$FAS $PHF15) $ADRA2A) !$PDCD5) and(or(and(or($PRKAG1 !$SYNPO) !$EFNA3) $ADRA2A $ENPP2 !$MARS) or(and($DDIT3 !$ID1) $MTHFD2) or($GRSF1 $RBBP8) $JAK1) and(or(and(!$DDIT3 !$UBE2C) $SEPHS1 $SF3B5) !$COX17 !$CX3CR1) and(or(and(!$PTGER3 !$PTN) !$CCNB2) $PDCD5 !$RNF7 !$SCFD1) and(or(!$COX7A2 $SORBS2) !$EFNA3 !$ID1 $VPS39) and(or(!$HIST3H2A $MRPL13) !$DCK $RNF7))  [score=-58, penalized score=-245.914581298828125, complexity=50, complexity penalty=16.6666679382324219, uniformity penalty=169.993240356445312, inconsistency penalty=1.25467038154602051]
-58 or(and(or(and(or(and($PFDN2 $STC2) $AQP1) $ENPP2) $NTRK2) or(and(!$PHF15 $SF3B5) !$AURKA $DRG1) or($HSPE1 $PDLIM1)) and(or(and(or(!$BIRC5 $UBE2V2) or(!$FAS !$STK3) $PHF15) $ADRA2A) !$PDCD5) and(or(and(!$DDIT3 !$UBE2C) $SEPHS1 $SF3B5) !$COX17 !$CX3CR1) and(or(and($DDIT3 !$ID1) $MTHFD2) or(and(!$EFNA3 !$SYNPO) $ADRA2A $ENPP2 !$MARS) or($GRSF1 $RBBP8) $JAK1) and(or(and(!$PTGER3 !$PTN) !$CCNB2) $PDCD5 !$RNF7 !$SCFD1) and(or(!$COX7A2 $SORBS2) !$EFNA3 !$ID1 $VPS39) and(or(!$HIST3H2A $MRPL13) !$DCK $RNF7))  [score=-58, penalized score=-245.917144775390625, complexity=50, complexity penalty=16.6666679382324219, uniformity penalty=169.993240356445312, inconsistency penalty=1.25723075866699219]
-58 or(and(or(and(or(and($PFDN2 $STC2) $AQP1) $ENPP2) $NTRK2) or(and(!$PHF15 $SF3B5) !$AURKA $DRG1) or($HSPE1 $PDLIM1)) and(or(and(or(!$BIRC5 $UBE2V2) !$FAS $PHF15) $ADRA2A) !$PDCD5) and(or(and(!$DDIT3 !$UBE2C) $SEPHS1 $SF3B5) !$COX17 !$CX3CR1) and(or(and($DDIT3 !$ID1) $MTHFD2) or(and(!$EFNA3 !$SYNPO) $ADRA2A $ENPP2 !$MARS) or(and($RBBP8 $RBX1) $GRSF1) $JAK1) and(or(and(!$PTGER3 !$PTN) !$CCNB2) $PDCD5 !$RNF7 !$SCFD1) and(or(!$COX7A2 $SORBS2) !$EFNA3 !$ID1 $VPS39) and(or(!$HIST3H2A $MRPL13) !$DCK $RNF7))  [score=-58, penalized score=-245.9305419921875, complexity=50, complexity penalty=16.6666679382324219, uniformity penalty=169.993240356445312, inconsistency penalty=1.27064096927642822]
-58 or(and(or(and(or(and($PFDN2 $STC2) $AQP1) $ENPP2) $NTRK2) or(and(!$PHF15 $SF3B5) !$AURKA $DRG1) or($HSPE1 $PDLIM1)) and(or(and(or(!$BIRC5 $UBE2V2) !$FAS $PHF15) $ADRA2A) !$PDCD5) and(or(and(!$DDIT3 !$UBE2C) $SEPHS1 $SF3B5) !$COX17 !$CX3CR1) and(or(and($DDIT3 !$ID1) $MTHFD2) or(and(!$EFNA3 !$SYNPO) $ADRA2A $ENPP2 !$MARS) or($GRSF1 $RBBP8) $JAK1) and(or(and(!$PTGER3 !$PTN) !$CCNB2) or($CDKN1C !$RNF7) $PDCD5 !$SCFD1) and(or(!$COX7A2 $SORBS2) !$EFNA3 !$ID1 $VPS39) and(or(!$HIST3H2A $MRPL13) !$DCK $RNF7))  [score=-58, penalized score=-245.944473266601562, complexity=50, complexity penalty=16.6666679382324219, uniformity penalty=169.993240356445312, inconsistency penalty=1.28456366062164307]
-58 or(and(or(and(or(and($PFDN2 $STC2) $AQP1) $ENPP2) $NTRK2) or(and(!$PHF15 $SF3B5) !$AURKA $DRG1) or($HSPE1 $PDLIM1)) and(or(and(or(!$BIRC5 $UBE2V2) !$FAS $PHF15) $ADRA2A) !$PDCD5) and(or(and(!$DDIT3 !$UBE2C) $SEPHS1 $SF3B5) !$COX17 !$CX3CR1) and(or(and($DDIT3 !$ID1) $MTHFD2) or(and(!$EFNA3 $ENY2 !$SYNPO) $ADRA2A $ENPP2 !$MARS) or($GRSF1 $RBBP8) $JAK1) and(or(and(!$PTGER3 !$PTN) !$CCNB2) $PDCD5 !$RNF7 !$SCFD1) and(or(!$COX7A2 $SORBS2) !$EFNA3 !$ID1 $VPS39) and(or(!$HIST3H2A $MRPL13) !$DCK $RNF7))  [score=-58, penalized score=-245.94671630859375, complexity=50, complexity penalty=16.6666679382324219, uniformity penalty=169.993240356445312, inconsistency penalty=1.28679871559143066]
-58 or(and(or(and(or(and(!$BIRC5 $ENY2) $UBE2V2) !$FAS $PHF15) $ADRA2A) !$PDCD5) and(or(and(or(and($PFDN2 $STC2) $AQP1) $ENPP2) $NTRK2) or(and(!$PHF15 $SF3B5) !$AURKA $DRG1) or($HSPE1 $PDLIM1)) and(or(and(!$DDIT3 !$UBE2C) $SEPHS1 $SF3B5) !$COX17 !$CX3CR1) and(or(and($DDIT3 !$ID1) $MTHFD2) or(and(!$EFNA3 !$SYNPO) $ADRA2A $ENPP2 !$MARS) or($GRSF1 $RBBP8) $JAK1) and(or(and(!$PTGER3 !$PTN) !$CCNB2) $PDCD5 !$RNF7 !$SCFD1) and(or(!$COX7A2 $SORBS2) !$EFNA3 !$ID1 $VPS39) and(or(!$HIST3H2A $MRPL13) !$DCK $RNF7))  [score=-58, penalized score=-245.94671630859375, complexity=50, complexity penalty=16.6666679382324219, uniformity penalty=169.993240356445312, inconsistency penalty=1.28679871559143066]
-58 or(and(or(and(or(and($NUCKS1 $PFDN2 $STC2) $AQP1) $ENPP2) $NTRK2) or(and(!$PHF15 $SF3B5) !$AURKA $DRG1) or($HSPE1 $PDLIM1)) and(or(and(or(!$BIRC5 $UBE2V2) !$FAS $PHF15) $ADRA2A) !$PDCD5) and(or(and(!$DDIT3 !$UBE2C) $SEPHS1 $SF3B5) !$COX17 !$CX3CR1) and(or(and($DDIT3 !$ID1) $MTHFD2) or(and(!$EFNA3 !$SYNPO) $ADRA2A $ENPP2 !$MARS) or($GRSF1 $RBBP8) $JAK1) and(or(and(!$PTGER3 !$PTN) !$CCNB2) $PDCD5 !$RNF7 !$SCFD1) and(or(!$COX7A2 $SORBS2) !$EFNA3 !$ID1 $VPS39) and(or(!$HIST3H2A $MRPL13) !$DCK $RNF7))  [score=-58, penalized score=-245.949539184570312, complexity=50, complexity penalty=16.6666679382324219, uniformity penalty=169.993240356445312, inconsistency penalty=1.2896265983581543]
